pos	HSC	MPP	LMPP	CLP	CMP	GMP-A	GMP-B	GMP-C	MEP	Mono	mDC	Ery	Mega	CD4	CD8	Bcell	Plasma	NK	pDC	chr
24371739	1.426612293824055e-05	6.065363853311816e-05	0.0	0.00017791893567202302	4.106250983515271e-06	0.0	3.55519320341842e-05	7.405787676287202e-05	6.490888912137486e-05	1.2670713387863477e-05	0.0	8.912855859168821e-06	6.68391435534515e-05	0.0	3.1811612726493835e-05	1.808566473815477e-05	2.697594328564448e-05	3.151642549993086e-05	0.0	chr1
24371839	2.066587902268491e-05	4.540014923865082e-05	0.0	0.00010733952317403042	1.5017146453998704e-05	5.063252143475269e-05	0.0	4.10052002210533e-05	3.762669376673556e-05	1.4990703163106086e-05	0.0	6.536094296723802e-05	8.280266671843687e-05	1.912191093149085e-05	1.1868799672067497e-05	9.190902356058633e-05	3.830903188493891e-05	4.290790443498195e-05	4.0554629082256974e-05	chr1
24371939	0.0	1.5013276864633208e-05	0.0	0.0	0.0	6.188419286469773e-05	0.0	0.0	4.637973123870579e-05	0.0	0.0	4.7535231248900384e-05	0.00010564477937148267	4.4357630119988985e-05	8.235493650006018e-06	0.0001151771315617013	9.928424163362747e-05	1.8226366554176882e-05	0.0	chr1
24372039	0.0	0.0	0.0	0.0	0.0	2.66486954919751e-06	0.0	0.0	2.8191601341174106e-05	0.0	0.0	9.738120290573342e-05	8.384094401507184e-05	7.219496984338383e-05	9.608075925007021e-06	0.00010555259542729067	6.145407210461912e-05	6.2273419060104344e-06	8.617858679979608e-05	chr1
24372139	0.0	0.0	0.0	0.0	0.0	3.5827690605877634e-05	0.0	0.0	0.0	0.0	0.0	7.163295264591239e-05	0.00011732540781139191	3.928447007694039e-05	4.424559333532645e-05	7.54098200368768e-05	0.00017542344817631463	4.700883596601142e-05	0.0001678511037015636	chr1
24372239	1.319949692416649e-05	3.67525017646221e-05	0.0	4.8890947199130295e-05	0.0	8.823679174009533e-05	0.0	0.0	0.0	1.855991820194087e-05	1.2799390385322767e-06	5.611798133550739e-06	0.00018896658255536326	1.678045245008381e-05	8.71186043956519e-05	5.150712706129458e-05	0.00033153276390755163	6.0298894419771555e-05	0.0003069760199760455	chr1
24372339	3.973181902425873e-05	8.839817321914987e-05	0.0	4.6685340558568025e-05	0.0	7.372805752779777e-05	0.0	0.0	1.898386058054869e-05	1.6596849930581737e-05	2.201495146275516e-05	6.040935662179452e-05	0.00018104971200024952	2.705685356292583e-05	2.640202376031341e-05	7.255418842923415e-05	0.0003640954367387172	5.612201940440932e-05	0.0003311961428563697	chr1
24372439	4.2531712311203135e-05	0.0001351194909572463	0.0	0.00015181925709203617	0.0	1.8357990227805068e-05	0.0	0.0	5.3882335219867635e-05	0.0	0.0	0.00016373246596761246	0.0001295251702472311	4.578852141418218e-05	1.0980658200008025e-05	5.7535682961263685e-05	0.0002759846613728668	8.475260369457163e-05	0.0001988303342505099	chr1
24372539	8.519675136107045e-05	0.00012250833899391225	0.0	0.00014851084713119278	0.0	9.090166128929283e-05	0.0	0.0	8.593891596407186e-05	9.81534135679565e-06	2.2270939270461615e-05	0.00016340235769579062	0.00018546239199927116	6.998359238872162e-05	4.117746825003009e-06	0.00011263879076296584	0.0002204365633192653	5.741305385524084e-05	0.00028500892698535204	chr1
24372639	0.00011412898022755172	5.705045207330093e-05	0.0	0.0	0.0	9.090166128929283e-05	0.0	1.9384276468134288e-05	5.6383203080778246e-05	1.3919938651455651e-05	5.913318358019119e-05	0.00035321318039002487	0.00018520282559663542	3.304058079318827e-05	0.0	0.0001765203243450873	0.0002127747532313804	5.1869200751470346e-05	0.00039315460852716664	chr1
24372739	0.00011919545331525672	6.593831198946905e-05	0.0	0.0	3.636965156827811e-06	8.823679174009533e-05	0.0	6.709941854354176e-06	3.387539193415275e-05	5.175361806310434e-05	0.00011314661100625326	0.0003452906426816281	0.00013848031990701664	3.043896025829156e-05	0.0	0.00019883655584707093	0.0001348797165332478	6.736161070942613e-05	0.0003069760118031952	chr1
24372839	0.00011919545331525672	7.302457842347068e-05	0.0	0.0	2.7101256491200786e-05	0.00011932693648073294	3.760695700725843e-05	0.0	2.8191601341174106e-05	8.94088367228113e-05	0.0001525687333930474	0.00014260569690548815	0.00013056344952829676	6.022751538285894e-05	0.0	0.0002625065567316714	8.635494284733365e-05	6.842481657038358e-05	0.0002551562089488252	chr1
24372939	8.666336201694014e-05	9.019976539695855e-05	0.0	9.92522988253021e-05	3.414054389151268e-05	0.00013531615377591801	6.123974419761209e-05	3.156157835196223e-05	2.716851903443795e-05	7.923657386213217e-05	0.0001948067244812233	0.00012544019357348712	0.00017923272835175674	5.567467944678969e-05	1.1545839136773143e-05	0.00033749331468079663	0.00021500944808832345	6.318473654900401e-05	0.00019939359396072185	chr1
24373039	3.973181902425873e-05	0.00010809558983222248	0.0	0.0002727600212162006	2.3464291334372975e-06	4.7079362035822675e-05	6.123974419761209e-05	7.405787676287202e-05	2.068899815687232e-05	0.00010903951976988216	0.0002465162624231642	0.0001967430412105005	0.00015340556416577325	8.793477495568632e-05	4.618335654709257e-05	0.000584452541944444	0.00019649341538045063	0.00012090156368020711	4.449744024303196e-05	chr1
24373139	6.733076701233377e-05	0.00013355810813295616	0.0	0.00029555128983534406	2.5693399011138406e-05	2.3391632709622586e-05	4.911509685647412e-05	4.945475663024004e-05	8.434745322414117e-05	0.00010529184440457958	0.00023832465151819483	0.00018915060847629083	7.527515008892588e-05	0.00011499162859527767	7.355426191328904e-05	0.0020488625946227207	0.00043560563225124635	0.00015378496503441026	1.0701916007817813e-05	chr1
24373239	4.946478140268452e-05	0.00012839354127298547	0.0	0.00026614320129451376	9.632091592760106e-05	0.00012406448234597296	8.014597394989501e-06	2.907641470220143e-05	7.093370660037356e-05	0.00015668854172275394	0.0002790267121412139	0.00020235484038540958	9.40939386750327e-05	6.504051372288881e-05	0.00010157108835007423	0.003560654985973173	0.0006688118623629523	0.0001310020073578794	6.984408341944257e-05	chr1
24373339	4.079844503833278e-05	0.00014725021825779628	0.0001803653980217122	0.00039075998257851526	0.00016894289760748543	0.00010096894625292787	2.589331466073531e-05	6.585683671866136e-05	7.70722009353933e-05	0.00017774691118783406	0.00038218980125868176	0.00022777298306764766	0.0001255018447691414	9.938190618540922e-05	0.00011432802949420118	0.003172183369354133	0.000459868014000472	9.523276564884786e-05	5.238306256458193e-05	chr1
24373439	6.146432406101769e-05	0.00016466561844865506	0.0003394784410931147	0.00040840483466092085	6.992358817643147e-05	8.823679174009533e-05	1.4590677308827041e-05	1.615356372344524e-05	0.00010492277512950699	0.0001627562089906688	0.0004943124644140422	0.0001937720885632053	9.422372183225212e-05	7.466650999771651e-05	5.6598833810335476e-05	0.0013900578834798532	0.0002718345173372608	0.00010229548224499038	8.955813922331748e-05	chr1
24373539	3.5465314967962485e-05	0.00011470143405218726	0.00017617085379888453	0.00024261673046184959	4.4112867708621196e-05	6.899051166255776e-05	1.787871726574581e-05	0.0	0.00010139882525037853	0.00015187010283474034	0.00033252816905590324	0.00014392611718406782	0.00013497613274650598	5.7755975874707064e-05	9.688816058830609e-06	0.0005355895274173328	0.0004764686086973817	9.728323132967513e-05	4.1681146556764117e-05	chr1
24373639	3.9865147276017986e-05	8.311349954130425e-05	9.535596790133465e-05	5.734577265461899e-05	3.930268798507473e-05	3.1090144740637616e-05	5.897921672723043e-05	0.0	5.26319008909823e-05	7.602428095964211e-05	0.00022859711735176403	9.375003975467298e-05	0.00017391155419127033	9.625995979117844e-06	9.527335791183432e-06	0.0003233209275882306	0.000595386222047818	6.895641942020758e-05	0.0	chr1
24373739	4.266504056296239e-05	2.858527915026163e-05	6.571452333376436e-05	0.0	4.7749832865449004e-05	8.823679174009533e-05	2.445479717958335e-05	0.0	5.388233565951457e-05	1.6596849930581737e-05	0.00011954630785474038	6.272009678674356e-05	0.0001675521027782474	1.0796725219821365e-05	9.608075925007021e-06	0.00028894759132047106	0.0007586784769164316	5.589418963697624e-05	0.0	chr1
24373839	3.973181902425873e-05	6.005310745853283e-07	2.2370901560430417e-05	2.02180608718208e-05	7.977859053686811e-06	4.7079362035822675e-05	0.0	0.0	0.0001177681422131129	1.4455320907280868e-05	1.6127231885506687e-05	0.00012114881853018361	9.35747990565491e-05	3.681293056878851e-05	3.6333060220614785e-06	0.00021808562303155034	0.0009650684195771098	4.108526794087372e-05	0.0	chr1
24373939	3.973181902425873e-05	3.9034519515804256e-05	6.851088602881815e-05	8.895946783601151e-05	0.0	2.3391632709622586e-05	0.0	0.0	0.00014391357883090296	8.066426010765198e-05	0.0	0.00023569552532330917	5.9830767336196396e-05	3.577228235482983e-05	7.5088324455937225e-06	0.0002111051926809954	0.0007791099734715136	5.224891718108098e-05	3.886485287049627e-05	chr1
24374039	3.6131956226758776e-05	7.19436212094698e-05	5.8443980326624466e-05	0.00019262297994243816	1.443053917063938e-05	8.26109560251228e-05	0.0	0.0	0.00013811611329161963	9.601188477464155e-05	1.484729284697441e-05	0.00022513214167740162	0.00011927217851981783	8.130064299693172e-05	2.3656859210311405e-05	0.00022157583968770406	0.000605921204660897	7.222197649500367e-05	0.00019094471192895992	chr1
24374139	9.46630587490728e-06	9.608497193365253e-06	2.516726425548422e-06	0.00019446098547624003	3.4961794088215735e-05	8.823679174009533e-05	0.0	0.0	5.8884071532464414e-05	8.494731794726641e-05	8.447597654313027e-06	0.00017759690799866508	0.00018494325537948285	8.780469410417695e-05	4.577965587797463e-05	0.0001809624179076133	0.0006970647663588978	6.8576703571311e-05	0.00017235717359959216	chr1
24374239	0.0	0.0	1.062617824120445e-05	7.021181139123223e-05	1.2318752950545811e-05	9.090166128929283e-05	0.0	0.0	9.321416572484987e-06	5.6928979869414776e-05	0.0	0.00020697632047232404	8.254309641308739e-05	2.952839307107771e-05	6.41076662559292e-05	7.445794392030518e-05	0.0003484525792166816	6.804510126993915e-05	5.238306256458193e-05	chr1
24374339	0.0	0.0	6.65534321422805e-05	6.249218814926429e-05	0.0	0.00010363381580212539	0.0	0.0	3.955918252713141e-05	8.084272062960782e-05	0.0	0.00014524653992719562	6.190732325242014e-05	2.4585314054773953e-05	5.635661340886471e-05	0.0	0.00017877548752101826	7.920875061499756e-05	5.5199356250849775e-05	chr1
24374439	0.0	0.0	1.5939267361806672e-05	0.0001698317113232947	0.0	8.823679174009533e-05	0.0	0.0	6.263537233462472e-05	0.0001258148315908359	2.8670634463122998e-05	5.380724092757474e-05	7.942826344277023e-05	4.0715361371133584e-05	5.280404752062682e-05	9.095714429715264e-06	0.00021995770117338553	6.470360028334024e-05	0.00016672458622705647	chr1
24374539	0.0	0.0	0.0	0.0002940808854083025	3.70735803083093e-05	5.004032820159768e-05	0.0	0.0	5.865671891953967e-05	8.601808295338655e-05	2.0223036808809973e-05	0.00020532579525426922	9.058974959623903e-05	6.634132363986622e-05	5.546847193680524e-05	3.003701107168794e-05	9.784765299045496e-05	1.3366002139729714e-05	6.477475478416045e-05	chr1
24374639	0.0	5.644992101102086e-06	3.383598861015101e-05	0.0004142864473189462	6.992358817643147e-05	0.0	0.0	0.0	5.922509797883754e-05	4.8719785280094774e-05	0.0	0.00016967436935304584	7.267945598741849e-05	4.526819730720283e-05	7.242390003975881e-05	9.243784417930576e-05	8.651456395355475e-05	0.0	6.139520236063903e-05	chr1
24374739	0.0	1.7295294948057456e-05	3.383598861015101e-05	0.00019262297994243816	4.035858109512152e-05	0.0	0.0	0.0	4.865324747589725e-05	2.3199897752426085e-06	7.67963423119366e-07	8.45070777758229e-05	4.282896577211456e-05	1.2097535487269723e-05	5.918251809269031e-05	0.00010259120003156943	0.0002127747523561688	1.777070739032246e-05	0.00011997411103501022	chr1
24374839	0.0	0.0	0.0	0.0	3.519643700155946e-07	0.0	0.0	0.0	4.0354913416232916e-05	1.7846075194173911e-07	5.196552496441044e-05	6.602115451236164e-05	6.476258763722777e-05	0.0	2.43835204147237e-05	0.00010227390805030185	0.0002780597290146119	3.6148960332450816e-05	0.0001931977468779742	chr1
24374939	0.0	9.968815838116451e-06	2.0972720212903518e-05	0.0	0.0	0.0	1.8906229752282925e-05	0.0	7.184311485383788e-05	3.9618286931066085e-05	7.551640327340432e-05	6.668136605748526e-05	7.358795028117866e-05	0.0	7.266612044122957e-07	6.800633201651783e-05	0.00015754589625244602	2.361833332645421e-05	9.181117417233177e-05	chr1
24375039	5.4664583221295565e-06	5.4408115357430746e-05	3.523416995767791e-05	0.0	8.564466337046135e-06	0.0	1.5001682303441888e-05	0.0	4.387886352892381e-05	9.26211302577626e-05	2.4318841732113257e-05	7.889527964227216e-05	6.0739260549544284e-05	5.567467960012073e-05	0.0	3.26811138567692e-05	5.379226560510172e-05	2.2099469446939468e-05	1.1828433482324952e-05	chr1
24375139	1.1466229651296142e-05	3.5071014755783174e-05	0.0	0.0	2.3816255704388568e-05	0.0	1.787871726574581e-05	0.0	3.455744680531019e-05	7.102737927281217e-05	2.5342792962939078e-05	9.903173176854247e-07	5.7754211419972664e-05	0.0001403574299933601	0.0	4.410363881880417e-05	3.016836260938939e-05	6.910830651792068e-06	0.0001244801809330388	chr1
24375239	0.0	2.2099543544740084e-05	0.0	1.801245423125853e-05	3.0151614364669272e-05	0.0	5.897921672723043e-05	0.0	6.320375250677889e-05	1.606146767475652e-06	7.62843666965237e-05	1.287412512991052e-05	3.8675853939667084e-05	5.34633037992433e-05	0.0	4.865149578684909e-06	0.0	0.0	0.00011884759356050308	chr1
24375339	0.0	3.21884655977736e-05	0.0	9.153267558333417e-05	3.0503578734684867e-06	0.0	4.7882081872629587e-05	0.0	9.298681715118132e-05	0.0	8.14041228506528e-05	7.889527964227216e-05	3.8675853939667084e-05	0.0	1.0415477263242904e-05	0.0	1.899489497628221e-05	0.0	5.013002761556765e-05	chr1
24375439	7.599710350277676e-06	3.5791652045285566e-05	0.0	0.0001731401212841381	5.27946555023392e-06	0.0	6.781582411144962e-06	0.0	5.5132769287712606e-05	3.997520843494956e-05	7.62843666965237e-05	0.00010530374144721682	4.01034861320709e-05	0.0	2.2687977604428343e-05	2.1364352497703296e-05	4.788628985617364e-05	0.0	0.0	chr1
24375539	5.839777427055477e-05	3.819377634362688e-05	0.0	0.00017534572792470037	2.8743756884606896e-05	4.4414492486625164e-06	0.0	0.0	2.6713815786999656e-05	9.886725657572346e-05	8.447597654313026e-05	0.0001363336840680268	5.7364857185680714e-05	6.113808257007279e-06	1.4856184623540268e-05	4.569010045283102e-05	4.788628985617364e-05	0.0	0.0	chr1
24375639	7.693040126509156e-05	3.6151970690036766e-05	0.0	0.00016946411021653433	2.522411318445095e-05	6.366077256416273e-05	0.0	0.0	8.502950868607418e-05	9.047960177492862e-05	7.62843666965237e-05	0.0001003521548587897	2.5308025228976784e-05	4.6048683467671846e-05	4.1984869588265975e-05	6.726598272332465e-05	3.527623352738125e-05	4.252818862641273e-06	0.0	chr1
24375739	5.026475091324007e-05	1.249104635137483e-05	0.0	9.410588333065681e-05	1.7598218500779731e-06	4.4118395870047667e-05	0.0	0.0	9.446460134519807e-05	0.00014651627902306495	7.62843666965237e-05	0.00018188828502054946	0.0	7.713804907873193e-05	2.8178306704432356e-05	8.651505394319187e-05	3.0327983575576637e-05	1.3745718109608398e-05	0.00011546804113698167	chr1
24375839	3.973181902425873e-05	1.0088922053033517e-05	0.0	7.71962324196794e-05	1.5251789367342435e-05	0.0	0.0	0.0	6.77507838683055e-05	0.00013455940764252973	7.62843666965237e-05	0.00023932668958515186	0.0	4.852022297582373e-05	4.925148163238893e-06	7.519829164623766e-05	2.1868072367652626e-05	3.349094818841921e-05	0.0001858753832936778	chr1
24375939	1.853262699453679e-05	0.0	0.0	1.0660432096050966e-05	1.4547860627311244e-05	0.0	1.1302637351908271e-05	0.0	6.57046192548332e-05	8.905191544891372e-05	9.599542788992075e-05	0.0002152289675980368	0.0	4.409746806649931e-05	0.0	7.720780934578594e-05	0.0	3.523764164986116e-05	0.00015039008284670294	chr1
24376039	0.0	0.0	0.0	0.0	5.162144093562055e-05	0.0	3.5346429536876774e-05	0.0	4.365151175407603e-05	8.405501436004715e-05	0.0001295298306994664	6.338030892197025e-05	0.0	4.045519931764391e-05	0.0	5.341088124425824e-05	2.9051015846078674e-05	3.918668809148029e-05	4.2244405294017684e-05	chr1
24376139	0.0	0.0	0.0	3.19812962881529e-05	4.622465392871476e-05	0.0	3.0825374596113466e-06	0.0	3.9786534150850555e-06	1.3563017147572172e-05	7.526041546569788e-05	7.757485655202493e-05	0.0	5.073160043048593e-06	9.769556192654198e-06	4.579586480857885e-05	0.00013535858330024475	5.445126910468122e-05	0.0	chr1
24376239	2.41324135684256e-05	0.0	0.0	0.00011542674752275874	1.7715539957451597e-05	0.0	0.0	0.0	0.0	1.9809143465533042e-05	7.935622038900116e-06	0.00014986802216625068	1.1161488049702582e-05	3.6422687488554003e-06	2.4060559879429348e-05	7.657322535856952e-05	0.00020862461220650224	4.6325347228295265e-05	6.308497857239974e-05	chr1
24376339	5.199801818611041e-05	0.0	0.0	0.00015696567258668148	1.4782503540654975e-05	0.0	0.0	0.0	9.207740760625413e-06	3.230139610145478e-05	0.0	0.0002304138327887605	8.44898652032303e-05	4.5138116280457994e-05	2.4060559879429348e-05	0.00010766787795153093	0.00021293437670067276	4.670506382728083e-05	1.295495095683209e-05	chr1
24376439	3.599862797499952e-05	1.5733914154135602e-05	0.0	0.00020107780539792684	3.460982971820014e-05	0.0	0.0	0.0	3.205657894439959e-05	0.0	0.0	0.00015878087729646865	0.00011356164551675038	2.7577177669905173e-05	2.898570804266824e-05	0.00010206238010392559	0.00017063481633750749	4.8223927860039556e-05	5.069328635282122e-06	chr1
24376539	1.053293188898134e-05	2.8345066720427496e-05	0.0	0.00014483483606358898	3.4961794088215735e-05	0.0	0.0	0.0	3.728566628993995e-05	4.818440302426956e-06	0.0	0.00018353881187006569	8.526857556804799e-05	1.2357697540759393e-05	4.0773767580912145e-05	0.00012702271087390934	0.00017861586244133658	6.485548605831578e-05	0.0002393849743271965	chr1
24376639	1.1866214406573916e-05	9.608497193365253e-06	7.550179276645266e-06	2.4629274152945338e-05	1.4665182083983109e-05	0.0	0.0	0.0	3.387539193415275e-05	7.156276154013667e-05	1.766315873174542e-05	0.00034529064101545474	9.188759686748503e-05	1.4569074995421601e-05	5.4015149527980645e-05	9.793757728860358e-05	0.00018516032245761098	4.1237153667456416e-05	0.0003142983875494712	chr1
24376739	3.853186475842541e-05	6.713937235437666e-05	2.12523564824089e-05	0.0001543924648393588	1.372661043060819e-05	0.0	0.0	0.0	2.7850573905595386e-05	0.00015187010159281643	6.886072027303649e-05	0.00036740772857547067	0.00011563820531363861	0.0	6.233138331181025e-05	7.498676337900487e-05	0.00016520770275196343	4.0022062886463544e-05	0.0001678511037015636	chr1
24376839	3.973181902425873e-05	0.00012214801841723487	0.0	0.0002591587802660666	3.4961794088215735e-05	0.0	1.849522475766808e-06	0.0	2.159840425331887e-05	0.00016757464898261478	4.3261939502390955e-05	0.0003542034986449328	8.111546426478204e-05	3.733325467576785e-05	3.7382681960321434e-05	9.751452171670757e-05	9.353788791864477e-05	4.4882427454154695e-05	0.0002754335225169953	chr1
24376939	3.973181902425873e-05	7.878967624727933e-05	0.0	7.352022135207563e-05	3.179411475807538e-05	0.0	4.295002193725143e-05	4.6472560250527074e-05	3.2965985439276174e-05	0.00014366090785444428	0.0	0.0002512104972238172	0.00011940196434499408	4.643892654790636e-05	3.681750102355631e-05	0.00011359066770636004	0.00010056121102602745	3.470603961464992e-05	0.00020333640414853845	chr1
24377039	4.239838405944388e-05	2.0658268965735295e-05	0.0	4.3009329490964245e-05	8.329823423702407e-06	0.0	5.0759116834933505e-05	7.405787676287202e-05	4.149167132874415e-05	4.747056064896386e-05	0.0	0.00012114881853018361	0.00014458020443232074	1.4959318075656109e-05	2.9793109380904122e-05	0.00010830246171661592	0.00014557432529376655	2.999756162041612e-05	9.237443290958533e-05	chr1
24377139	3.973181902425873e-05	3.5791652045285566e-05	2.8802535759054162e-05	0.00010954512981459269	0.0	0.0	4.315552443455885e-05	4.6472560250527074e-05	8.332437240121341e-05	8.102118138154956e-05	0.0	8.747802972887918e-05	8.74749176181372e-05	2.73170156164155e-06	2.4060559879429348e-05	0.00014606025383888442	0.0002379948709301839	5.2476746262948874e-05	0.0	chr1
24377239	2.8932230631758872e-05	5.308694699334302e-05	6.51552507947536e-05	8.969467004953227e-05	0.0	0.0	0.00010028521868602248	0.0	9.230476164803142e-05	9.030114048251999e-05	0.0	2.3767615624450192e-05	9.850661768183898e-05	2.8747906910608695e-05	2.026577358972069e-05	0.00016097299682688365	0.00030886657785182155	6.470359920256687e-05	0.0	chr1
24377339	2.266580279907377e-06	3.2909102887275996e-05	9.227996893677547e-06	0.00011432394420247761	0.0	0.0	0.00015330486299133765	0.0	5.331395677882327e-05	1.8916839705824347e-05	0.0	7.988559695995758e-05	0.0001264103365933878	5.42437881525965e-05	2.640202376031341e-05	0.00012173450619227258	0.000343025470882407	6.113426940026067e-05	3.999137034500341e-05	chr1
24377439	0.0	3.0867297233685874e-05	0.0	3.8965717316600084e-05	7.743216140343083e-06	0.0	0.00020920154225895674	0.0	3.171555150882087e-05	3.158755309368782e-05	0.0	0.0001627421462200909	0.0001574288920251798	7.700796783294275e-05	5.627587327504112e-05	0.00014711789497759818	0.000139349105424435	6.280502070010742e-05	9.631724407036032e-05	chr1
24377539	3.7198582240832837e-05	6.125416883247196e-05	0.0	0.0	3.437518680485641e-05	3.997304323796265e-05	0.0001841302375874511	0.0	6.0475531909292836e-05	5.1575157311162604e-05	0.0	0.00015184865537843178	0.00016339898902751693	8.858518014417159e-05	3.302271473384766e-05	0.0001478582441350444	8.715304864100261e-05	6.326067991235468e-05	0.00014701053042318155	chr1
24377639	4.173174280064759e-05	6.30557617732069e-05	3.579344249668867e-05	2.2423667512383067e-05	3.4961794088215735e-05	8.823679174009533e-05	8.857157633949936e-05	0.0	8.923551408209151e-05	7.995041686989912e-05	0.0	0.00017132489595957846	5.243303600268014e-05	0.00012852005597911254	8.962154854418313e-06	0.00016118452497071009	0.0002111785474204389	6.052672397750235e-05	0.0001678511037015636	chr1
24377739	3.973181902425873e-05	1.1770409061872436e-05	7.801851919200109e-05	3.087849296787176e-05	3.2380722041434704e-05	0.00014301466580693303	6.123974419761209e-05	0.0	0.00015062045482188528	8.173502438931651e-05	0.0	0.00013567347252290318	8.176438920130961e-06	0.0001160322760097245	2.833978697207953e-05	0.00014119510416147441	0.00020958233555303326	5.2324859576574906e-05	0.00019432426435248134	chr1
24377839	5.159803343083264e-05	2.666357971158858e-05	2.153199275191428e-05	0.0	2.592804192448214e-05	0.00014301466580693303	4.2128011948021735e-05	0.0	0.00018279071118560352	7.709504493082565e-05	0.0	5.6448087108069204e-05	3.8026930215847165e-05	3.043896025829156e-05	3.3184195001494836e-05	9.455312575331709e-05	0.00012306776746847983	3.364283493125149e-05	0.00015714918769374578	chr1
24377939	4.119842979361056e-05	5.548907129168434e-05	7.745924665299033e-05	0.0	8.91643070706173e-06	8.37953424914328e-05	1.0275124865371155e-06	0.0	0.00012356561028036608	5.086131430339565e-05	0.0	0.0	3.1537692977647995e-05	0.0	1.162657927059673e-05	7.44579423653851e-05	0.00014637242833927112	2.4529651654163053e-05	3.2669006760707007e-05	chr1
24378039	3.5731971471481005e-05	6.065363853311816e-05	0.00011017669018511981	0.0	2.979964999465368e-05	2.457601917593259e-05	0.0	0.0	2.0575321946582714e-05	1.3741477899513912e-05	0.0	0.0	5.580744024851291e-06	1.951215401172536e-06	2.4545000682370877e-05	6.377576540077659e-05	7.326602435515725e-05	5.285646274095235e-05	7.941948195275325e-05	chr1
24378139	3.973181902425873e-05	2.9305916439764023e-05	8.333160831260331e-05	3.418690292871517e-05	1.1380181297170892e-05	0.0	0.0	0.0	1.3072718363850895e-05	0.0	0.0	0.0	0.0	2.0032478118704703e-05	6.782171241181426e-06	4.717079808898847e-05	5.0759467247544055e-05	6.143804279720503e-05	0.0001222271459840245	chr1
